"","year","unique_id","ccode","state_name","event_num_all","event_num","start","stop","alt_start","alt_stop","num_before_46","left_censored","new_tc","new_tc_dummy","num_tc","area","area_1000","area_1000_log","country_age","durable","elf","exist_tc","first_tc","first_tc_alt","first_tc_count","lmtnest","sf","sf_onset","state_fail","tc_persists_alt","tc_tally","Devel","birth_type","rivals_thom","rivals_gd","hs_capacity","kills_mean","kills_median","ciri_disap","ciri_kill","ciri_polpris","ciri_tort","pts_amnesty","pts_state","pts_hrw","hath_tort","ucdp_low","ucdp_best","ucdp_high","polity","polity2","polity_democ","polity_autoc","v2x_polyarchy","v2x_libdem","v2x_partipdem","v2x_egaldem","acd_inter_ongoing","acd_inter_onset","acd_intra_ongoing","acd_intra_onset","acd_any_ongoing","acd_any_onset","wbgdp2011est","wbgdppc2011est","wbpopest","sdpest","hrp_mean","hrp_sd","lag_hrp","hrp1","hrp2","hrp3","hrp4","hrp5","lag_num_tc","lag_hrp1","lag_hrp2","lag_hrp3","lag_hrp4","lag_hrp5"
"11",1946,660.1946,660,"Lebanon",1,1,0,1,0,1,0,1,0,0,0,10240,10.23999977,2.326301597,4,3,0.779999971,0,0,0,4,4.062165737,0,0,0,0,0,0.00222202,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,0.34,0.204,0.085,0.228,0,0,0,0,0,0,22.307,8.363,13.944,22.012,-0.175475028,0.517282897,NA,-0.330473809,-0.181862239,-0.502376739,-0.103062901,0.007445637,0,NA,NA,NA,NA,NA
"12",1946,93.1946,93,"Nicaragua",4,1,0,1,0,1,3,1,0,0,0,128883,128.8829956,4.858904982,106,10,0.40200001,0,NA,1,NA,2.332144022,0,0,0,0,3,0,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,-8,0,8,0.142,0.039,0.027,0.025,0,0,0,0,0,0,21.659,7.93,13.729,21.158,0.151970532,0.585582827,NA,-0.322748468,0.607668193,1.232895956,0.45071104,0.608928494,0,NA,NA,NA,NA,NA
"13",1946,150.1946,150,"Paraguay",1,1,0,1,0,1,0,1,0,0,0,400653,400.6530151,5.993095754,131,6,0.131999999,0,0,0,131,0.741937339,0,0,0,0,0,0.000854007,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,0,9,0.145,0.043,0.068,0.038,0,0,0,0,0,0,22.055,8.033,14.022,21.615,-0.008220198,0.538909078,NA,0.706460454,0.213007606,0.90154959,-0.439234031,-0.084856818,0,NA,NA,NA,NA,NA
"14",1946,840.1946,840,"Philippines",1,1,0,1,0,1,0,0,1,1,1,294202,294.2019958,5.684266592,1,2,0.160999998,0,1,1,1,3.104586601,0,0,0,0,1,0.001568744,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,2,0.2,0.183,0.18,0.098,0,0,1,1,1,1,24.074,7.368,16.706,22.897,-1.578208959,0.284466006,NA,-1.653870878,-1.762882799,-1.244034039,-2.202766947,-1.938771914,1,NA,NA,NA,NA,NA
"15",1946,670.1946,670,"SaudiArabia",1,1,0,1,0,1,0,1,0,0,0,1963227,1963.227051,7.582344853,15,20,0.552999973,0,0,0,15,2.525728703,0,0,0,0,0,1.954943776,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-10,0,10,0.009,0.035,0.008,0.03,0,0,0,0,0,0,23.198,8.17,15.029,22.827,0.640130191,0.623875427,NA,0.180182069,-0.165253802,1.31779389,0.212710395,-0.693221768,0,NA,NA,NA,NA,NA
"16",1946,560.1946,560,"SouthAfrica",1,1,0,1,0,1,0,1,0,0,0,2053301,2053.301025,7.627204033,37,36,0.879999995,0,0,0,37,2.163322926,0,0,0,0,0,1.004093051,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,7,3,0.254,0.13,0.15,0.05,0,0,0,0,0,0,24.635,8.402,16.234,24.353,-0.104047704,0.520594293,NA,-0.306958035,-1.054958237,-0.276475121,1.08635143,0.946254713,0,NA,NA,NA,NA,NA
"17",1946,652.1946,652,"Syria",1,1,0,1,0,1,0,0,0,0,0,188436,188.4360046,5.238758451,1,2,0.58099997,0,0,0,1,1.85629797,0,0,0,0,0,0.000515053,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,0,0.151,0.076,0.038,0.087,0,0,0,0,0,0,23.334,8.441,14.893,23.064,-0.181362567,0.511886417,NA,-0.442609293,0.146498767,-0.074015894,-0.844187813,0.338806068,0,NA,NA,NA,NA,NA
"18",1946,640.1946,640,"Turkey",1,1,0,1,0,1,0,1,0,0,0,781079,781.0789795,6.660676271,25,0,0.298999995,0,0,0,25,4.280824184,0,0,0,0,0,0.10529995,6,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,0,0.203,0.142,0.097,0.161,0,0,0,0,0,0,24.659,7.923,16.736,24.154,-0.091095692,0.530013023,NA,-0.079302132,-0.241371248,0.092306677,0.980587077,-0.879873597,0,NA,NA,NA,NA,NA
"19",1946,165.1946,165,"Uruguay",5,1,0,1,0,1,4,1,0,0,0,178357,178.3569946,5.183787129,117,12,0.217999995,0,NA,1,NA,0,0,0,0,0,4,0.004322123,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,3,0.749,0.62,0.562,0.576,0,0,0,0,0,0,23.412,8.901,14.511,23.251,0.242735975,0.553669696,NA,0.227173919,0.266919455,-0.605129993,-0.088377429,0.924681276,0,NA,NA,NA,NA,NA
"20",1946,101.1946,101,"Venezuela",4,1,0,1,0,1,3,1,0,0,0,916782,916.7819824,6.820869693,117,9,0.48300001,0,NA,1,NA,3.104586601,0,0,0,0,3,0.309562951,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3,1,4,0.174,0.15,0.119,0.15,0,0,0,0,0,0,24.485,9.231,15.253,24.371,0.01109505,0.539098767,NA,0.568622521,0.119242775,0.192754629,0.667443272,-0.723982631,0,NA,NA,NA,NA,NA
