,unique_id,ccode,df_ccode,df_name,start,stop,Death,Death_Type,year,BirthType,Fragment,Area,split_terr,Mountains,Forested,Population,RegimeType,Troops,Recognition,WarOnset,WarOngoing,WarLoss,Support,Loot
282,372.1991,372,372.1000061,Abkhazia,0,1,0,0,1991,5,0,8660,0,1,0,178868,-1,4000,0,0,0,0,1,0
283,372.1992,372,372.1000061,Abkhazia,1,2,0,0,1992,5,0,8660,0,1,0,181960,-1,4000,0,0,0,0,1,0
284,372.1993,372,372.1000061,Abkhazia,2,3,0,0,1993,5,0,8660,0,1,0,185052,-1,4000,0,1,1,0,1,0
285,372.1994,372,372.1000061,Abkhazia,3,4,0,0,1994,5,0,8660,0,1,0,188144,-1,4000,0,0,1,0,1,0
286,372.1995,372,372.1000061,Abkhazia,4,5,0,0,1995,5,0,8660,0,1,0,191236,-1,4500,0,0,0,0,1,0
287,372.1996,372,372.1000061,Abkhazia,5,6,0,0,1996,5,0,8660,0,1,0,194328,-1,5000,0,0,0,0,1,0
288,372.1997,372,372.1000061,Abkhazia,6,7,0,0,1997,5,0,8660,0,1,0,197420,-1,5000,0,0,0,0,1,0
289,372.1998,372,372.1000061,Abkhazia,7,8,0,0,1998,5,0,8660,0,1,0,200512,-1,5000,0,0,0,0,1,0
290,372.1999,372,372.1000061,Abkhazia,8,9,0,0,1999,5,0,8660,0,1,0,203604,-1,5000,0,0,0,0,1,0
291,372.2,372,372.1000061,Abkhazia,9,10,0,0,2000,5,0,8660,0,1,0,206696,-1,5000,0,0,0,0,1,0
292,372.2001,372,372.1000061,Abkhazia,10,11,0,0,2001,5,0,8660,0,1,0,209788,-1,5000,0,0,0,0,1,0
293,372.2002,372,372.1000061,Abkhazia,11,12,0,0,2002,5,0,8660,0,1,0,212880,-1,5000,0,0,0,0,1,0
294,372.2003,372,372.1000061,Abkhazia,12,13,0,0,2003,5,0,8660,0,1,0,215972,-1,5000,0,0,0,0,1,0
295,372.2004,372,372.1000061,Abkhazia,13,14,0,0,2004,5,0,8660,0,1,0,219064,-1,5000,0,0,0,0,1,0
296,372.2005,372,372.1000061,Abkhazia,14,15,0,0,2005,5,0,8660,0,1,0,222156,-1,1500,0,0,0,0,1,0
297,372.2006,372,372.1000061,Abkhazia,15,16,0,0,2006,5,0,8660,0,1,0,225248,0,1500,0,0,0,0,1,0
298,372.2007,372,372.1000061,Abkhazia,16,17,0,0,2007,5,0,8660,0,1,0,228340,0,1500,0,0,0,0,1,0
299,372.2008,372,372.1000061,Abkhazia,17,18,0,0,2008,5,0,8660,0,1,0,231432,0,1500,1,0,0,0,1,0
300,372.2009,372,372.1000061,Abkhazia,18,19,0,0,2009,5,0,8660,0,1,0,234524,0,1500,1,0,0,0,1,0
301,372.201,372,372.1000061,Abkhazia,19,20,0,0,2010,5,0,8660,0,1,0,237616,0,1500,1,0,0,0,1,0
1914,850.1999,850,850.4000244,Aceh,0,1,0,0,1999,3,0,46365,0,1,1,3315600,-1,50,0,1,1,0,0,1
1915,850.2,850,850.4000244,Aceh,1,2,0,0,2000,3,0,46365,0,1,1,3387120,-1,2000,0,0,1,0,0,1
1916,850.2001,850,850.4000244,Aceh,2,3,0,0,2001,3,0,46365,0,1,1,3458640,-1,2000,0,0,1,0,0,1
1917,850.2002,850,850.4000244,Aceh,3,4,0,0,2002,3,0,46365,0,1,1,3475751,-1,2000,0,0,1,0,0,1
1918,850.2003,850,850.4000244,Aceh,4,5,0,0,2003,3,0,46365,0,1,1,3492862,-1,2000,0,0,1,0,0,1
1919,850.2004,850,850.4000244,Aceh,5,6,0,0,2004,3,0,46365,0,1,1,3509973,-1,2000,0,0,1,0,0,1
1920,850.2005,850,850.4000244,Aceh,6,7,1,3,2005,3,0,46365,0,1,1,3527084,-1,2000,0,0,1,0,0,1
626,500.1986,500,500.0700073,Acholiland - UPDA,0,1,0,0,1986,3,0,8185.5,0,0,0,168535,NA,15000,0,1,1,0,0,0
627,500.1987,500,500.0700073,Acholiland - UPDA,1,2,0,0,1987,3,0,8185.5,0,0,0,172508,NA,15000,0,0,1,0,0,0
628,500.1988,500,500.0700073,Acholiland - UPDA,2,3,1,3,1988,3,0,16371,0,0,0,352960,NA,15000,0,0,0,0,0,0
736,530.1975,530,530.4000244,Afar,0,1,0,0,1975,3,0,83113,0,0,0,2577267,-1,NA,0,1,1,0,0,0
737,530.1976,530,530.4000244,Afar,1,2,1,2,1976,3,0,83113,0,0,0,2584333,-1,NA,0,0,1,1,0,0
516,490.1996,490,490.1000061,AFDL-Zaire,0,1,0,0,1996,6,0,124613,0,1,1,6520600,-1,2500,0,1,1,0,1,1
517,490.1997,490,490.1000061,AFDL-Zaire,1,2,1,4,1997,6,0,1078784,0,1,1,19251750,-1,18000,0,0,1,0,1,1
66,91.191,91,91.09999847,Amapala,0,1,1,3,1910,5,0,75.19999695,0,0,0,885,NA,150,0,0,0,0,0,0
907,645.2001,645,645.2999878,Ansar Al-Islam; eastern Iraq,0,1,0,0,2001,5,0,50,0,1,0,4000,-1,700,0,0,0,0,0,0
908,645.2002,645,645.2999878,Ansar Al-Islam; eastern Iraq,1,2,0,0,2002,5,0,50,0,1,0,4000,-1,700,0,1,1,0,0,0
909,645.2003,645,645.2999878,Ansar Al-Islam; eastern Iraq,2,3,1,1,2003,5,0,50,0,1,0,4000,-1,700,0,0,1,1,0,0
847,580.2002,580,580.0999756,Antananarivo Province,0,1,1,4,2002,5,0,58283,0,1,0,5370900,1,0,0,1,1,0,0,0
1795,811.1978,811,811.2000122,Anti-KR Cambodians,0,1,0,0,1978,3,0,11094,0,0,1,156100,0,NA,0,1,1,0,1,0
1796,811.1979,811,811.2000122,Anti-KR Cambodians,1,2,1,4,1979,3,0,168198,0,0,1,6037200,0,NA,0,0,1,0,1,0
866,630.1921,630,630.7000122,Arabistan,0,1,0,0,1921,3,0,64055,0,0,0,246154,-1,250,0,0,0,0,0,0
867,630.1922,630,630.7000122,Arabistan,1,2,0,0,1922,3,0,64055,0,0,0,246154,-1,250,0,0,0,0,0,0
868,630.1923,630,630.7000122,Arabistan,2,3,0,0,1923,3,0,64055,0,0,0,246154,-1,250,0,0,0,0,0,0
869,630.1924,630,630.7000122,Arabistan,3,4,1,2,1924,3,0,64055,0,0,0,246154,-1,250,0,0,0,0,0,0
1238,775.1948,775,775.0100098,Arakan Buddhists,0,1,0,0,1948,3,0,18381,0,1,1,675887,NA,1000,0,1,1,0,0,0
1239,775.1949,775,775.0100098,Arakan Buddhists,1,2,0,0,1949,3,0,18381,0,1,1,687678,NA,1000,0,0,1,0,0,0
1240,775.195,775,775.0100098,Arakan Buddhists,2,3,0,0,1950,3,0,18381,0,1,1,699469,NA,1000,0,0,1,0,0,0
1241,775.1951,775,775.0100098,Arakan Buddhists,3,4,0,0,1951,3,0,18381,0,1,1,711260,NA,1000,0,0,1,0,0,0
1242,775.1952,775,775.0100098,Arakan Buddhists,4,5,0,0,1952,3,0,18381,0,1,1,723051,NA,1000,0,0,1,0,0,0
1243,775.1953,775,775.0100098,Arakan Buddhists,5,6,0,0,1953,3,0,18381,0,1,1,734842,NA,1000,0,0,1,0,0,0
1244,775.1954,775,775.0100098,Arakan Buddhists,6,7,0,0,1954,3,0,18381,0,1,1,746633,NA,1000,0,0,1,0,0,0
1245,775.1955,775,775.0100098,Arakan Buddhists,7,8,0,0,1955,3,0,18381,0,1,1,758424,NA,1000,0,0,1,0,0,0
1246,775.1956,775,775.0100098,Arakan Buddhists,8,9,0,0,1956,3,0,18381,0,1,1,770216,NA,1000,0,0,1,0,0,0
1247,775.1957,775,775.0100098,Arakan Buddhists,9,10,0,0,1957,3,0,18381,0,1,1,782007,NA,1000,0,0,1,0,0,0
1248,775.1958,775,775.0100098,Arakan Buddhists,10,11,1,3,1958,3,0,18381,0,1,1,793798,NA,1000,0,0,1,0,0,0
1249,775.1948,775,775.0200195,Arakan Rohingyas,0,1,0,0,1948,3,0,18381,0,1,1,675887,NA,500,0,1,1,0,0,1
1250,775.1949,775,775.0200195,Arakan Rohingyas,1,2,0,0,1949,3,0,18381,0,1,1,687678,NA,500,0,0,1,0,0,1
1251,775.195,775,775.0200195,Arakan Rohingyas,2,3,0,0,1950,3,0,18381,0,1,1,699469,NA,2000,0,0,1,0,0,1
1252,775.1951,775,775.0200195,Arakan Rohingyas,3,4,0,0,1951,3,0,18381,0,1,1,711260,NA,2000,0,0,1,0,0,1
1253,775.1952,775,775.0200195,Arakan Rohingyas,4,5,0,0,1952,3,0,18381,0,1,1,723051,NA,2000,0,0,1,0,0,1
1254,775.1953,775,775.0200195,Arakan Rohingyas,5,6,0,0,1953,3,0,18381,0,1,1,734842,NA,300,0,0,1,0,0,1
1255,775.1954,775,775.0200195,Arakan Rohingyas,6,7,0,0,1954,3,0,18381,0,1,1,746633,NA,300,0,0,1,0,0,1
1256,775.1955,775,775.0200195,Arakan Rohingyas,7,8,0,0,1955,3,0,18381,0,1,1,758424,NA,300,0,0,1,0,0,1
1257,775.1956,775,775.0200195,Arakan Rohingyas,8,9,0,0,1956,3,0,18381,0,1,1,770216,NA,300,0,0,1,0,0,1
1258,775.1957,775,775.0200195,Arakan Rohingyas,9,10,0,0,1957,3,0,18381,0,1,1,782007,NA,300,0,0,1,0,0,1
1259,775.1958,775,775.0200195,Arakan Rohingyas,10,11,0,0,1958,3,0,18381,0,1,1,793798,NA,300,0,0,1,0,0,1
1260,775.1959,775,775.0200195,Arakan Rohingyas,11,12,0,0,1959,3,0,18381,0,1,1,805589,NA,300,0,0,1,0,0,1
1261,775.196,775,775.0200195,Arakan Rohingyas,12,13,0,0,1960,3,0,18381,0,1,1,817380,NA,300,0,0,1,0,0,1
1262,775.1961,775,775.0200195,Arakan Rohingyas,13,14,1,2,1961,3,0,18381,0,1,1,829171,NA,300,0,0,1,0,0,1
1128,750.1986,750,750.0700073,Assam,0,1,0,0,1986,3,0,78438,0,0,0,21158050,-1,2125,0,0,0,0,0,1
1129,750.1987,750,750.0700073,Assam,1,2,0,0,1987,3,0,78438,0,0,0,21409100,-1,2750,0,0,0,0,0,1
1130,750.1988,750,750.0700073,Assam,2,3,0,0,1988,3,0,78438,0,0,0,21660150,-1,3375,0,0,0,0,0,1
1131,750.1989,750,750.0700073,Assam,3,4,0,0,1989,3,0,78438,0,0,0,21911200,-1,4000,0,0,0,0,0,1
1132,750.199,750,750.0700073,Assam,4,5,0,0,1990,3,0,78438,0,0,0,22162250,-1,4625,0,1,1,0,0,1
1133,750.1991,750,750.0700073,Assam,5,6,0,0,1991,3,0,78438,0,0,0,22413300,-1,5250,0,0,1,0,0,1
1134,750.1992,750,750.0700073,Assam,6,7,1,2,1992,3,0,78438,0,0,0,22835810,-1,5875,0,0,0,0,0,1
865,630.192,630,630.5999756,Azadistan,0,1,1,2,1920,5,0,45650,0,1,0,211000,-1,800,0,0,0,0,0,0
324,432.199,432,432.1000061,"Azawad, part I",0,1,0,0,1990,3,0,970063,0,1,0,452014,NA,3000,0,1,1,0,0,0
325,432.1991,432,432.1000061,"Azawad, part I",1,2,0,0,1991,3,1,822630,0,1,0,400749,NA,3000,0,0,0,0,0,0
326,432.1992,432,432.1000061,"Azawad, part I",2,3,0,0,1992,3,1,822630,0,1,0,405339,NA,3000,0,0,0,0,0,0
327,432.1993,432,432.1000061,"Azawad, part I",3,4,0,0,1993,3,1,822630,0,1,0,409930,NA,3000,0,0,0,0,0,0
328,432.1994,432,432.1000061,"Azawad, part I",4,5,0,0,1994,3,1,822630,0,1,0,414518,NA,3000,0,1,1,0,0,0
329,432.1995,432,432.1000061,"Azawad, part I",5,6,0,0,1995,3,1,873056,0,1,0,429924,NA,3000,0,0,0,0,0,0
330,432.1996,432,432.1000061,"Azawad, part I",6,7,1,3,1996,3,1,873056,0,1,0,445169,NA,3000,0,0,0,0,0,0
331,432.1991,432,432.2000122,"Azawad, Part II",0,1,0,0,1991,4,1,97060,0,1,0,45715,NA,1299,0,0,0,0,0,0
332,432.1992,432,432.2000122,"Azawad, Part II",1,2,0,0,1992,4,1,97060,0,1,0,46229,NA,1299,0,0,0,0,0,0
333,432.1993,432,432.2000122,"Azawad, Part II",2,3,0,0,1993,4,1,97060,0,1,0,46742,NA,1299,0,0,0,0,0,0
334,432.1994,432,432.2000122,"Azawad, Part II",3,4,0,0,1994,4,1,97060,0,1,0,47256,NA,1299,0,1,1,0,0,0
335,432.1995,432,432.2000122,"Azawad, Part II",4,5,0,0,1995,4,1,97060,0,1,0,47769,NA,1299,0,0,0,0,0,0
336,432.1996,432,432.2000122,"Azawad, Part II",5,6,1,3,1996,4,1,97060,0,1,0,49463,NA,1299,0,0,0,0,0,0
337,432.1991,432,432.2999878,"Azawad, Part III",0,1,0,0,1991,4,1,50426,0,1,0,10686,NA,954,0,0,0,0,0,0
338,432.1992,432,432.2999878,"Azawad, Part III",1,2,0,0,1992,4,1,50426,0,1,0,10718,NA,954,0,0,0,0,0,0
339,432.1993,432,432.2999878,"Azawad, Part III",2,3,0,0,1993,4,1,50426,0,1,0,10750,NA,954,0,0,0,0,0,0
340,432.1994,432,432.2999878,"Azawad, Part III",3,4,1,1,1994,4,1,50426,0,1,0,10783,NA,954,0,1,1,1,0,0
541,490.2,490,490.1400146,Bafwasende,0,1,0,0,2000,4,1,251620,0,0,1,3088625,NA,70,0,0,0,0,1,1
542,490.2001,490,490.1400146,Bafwasende,1,2,0,0,2001,4,1,251620,0,0,1,3241438,NA,4500,0,1,1,0,1,1
543,490.2002,490,490.1400146,Bafwasende,2,3,0,0,2002,4,1,251620,0,0,1,3394250,NA,4500,0,0,1,0,1,1
544,490.2003,490,490.1400146,Bafwasende,3,4,0,0,2003,4,1,251620,0,0,1,3547063,NA,4500,0,1,1,0,1,1
545,490.2004,490,490.1400146,Bafwasende,4,5,0,0,2004,4,1,251620,0,0,1,3699875,NA,4500,0,0,0,0,1,1
546,490.2005,490,490.1400146,Bafwasende,5,6,0,0,2005,4,1,251620,0,0,1,3852688,NA,4500,0,0,0,0,1,1
547,490.2006,490,490.1400146,Bafwasende,6,7,1,3,2006,4,1,251620,0,0,1,4005500,NA,4500,0,0,0,0,1,1
854,630.1909,630,630.2000122,"Bakhtiari Movement, Iran",0,1,1,3,1909,3,0,107027,0,1,0,70000,1,2000,0,1,1,0,0,0
242,140.1838,140,140.5,Balaiada,0,1,0,0,1838,3,0,64050,0,0,1,147000,NA,11000,0,1,1,0,0,0
243,140.1839,140,140.5,Balaiada,1,2,0,0,1839,3,0,64050,0,0,1,151000,NA,11000,0,0,1,0,0,0
244,140.184,140,140.5,Balaiada,2,3,1,2,1840,3,0,64050,0,0,1,154500,NA,11000,0,0,1,1,0,0
730,530.1965,530,530.2999878,"Bale & Sidamo, Part I",0,1,0,0,1965,3,0,185182,0,0,0,1198225,0,300,0,0,0,0,1,0
731,530.1966,530,530.2999878,"Bale & Sidamo, Part I",1,2,0,0,1966,3,0,185182,0,0,0,1231400,0,300,0,0,0,0,1,0
732,530.1967,530,530.2999878,"Bale & Sidamo, Part I",2,3,0,0,1967,3,0,124602,0,0,0,175000,0,300,0,0,0,0,1,0
733,530.1968,530,530.2999878,"Bale & Sidamo, Part I",3,4,0,0,1968,3,0,124602,0,0,0,176850,0,300,0,0,0,0,1,0
734,530.1969,530,530.2999878,"Bale & Sidamo, Part I",4,5,0,0,1969,3,0,62301,0,0,0,68013,0,300,0,0,0,0,1,0
735,530.197,530,530.2999878,"Bale & Sidamo, Part I",5,6,1,2,1970,3,0,62301,0,0,0,47600,0,300,0,0,0,0,0,0
775,530.1977,530,530.7999878,"Bale & Sidamo, Part II",0,1,0,0,1977,3,0,122881,0,0,0,877538,0,6000,0,0,0,0,1,0
776,530.1978,530,530.7999878,"Bale & Sidamo, Part II",1,2,0,0,1978,3,0,122881,0,0,0,892517,0,6000,0,0,0,0,1,0
777,530.1979,530,530.7999878,"Bale & Sidamo, Part II",2,3,0,0,1979,3,0,122881,0,0,0,907196,0,6000,0,0,0,0,0,0
778,530.198,530,530.7999878,"Bale & Sidamo, Part II",3,4,1,2,1980,3,0,122881,0,0,0,921875,0,6000,0,0,0,0,0,0
480,490.1961,490,490.0400085,Balubakat,0,1,1,2,1961,5,0,134490,0,1,1,478184,NA,164,0,1,1,1,0,0
695,520.1995,520,520.2999878,Bay & Bakool,0,1,0,0,1995,1,0,66000,0,0,0,9.00E+05,0,NA,0,1,1,0,0,0
696,520.1996,520,520.2999878,Bay & Bakool,1,2,0,0,1996,1,0,66000,0,0,0,918400,0,NA,0,0,1,0,0,0
697,520.1997,520,520.2999878,Bay & Bakool,2,3,0,0,1997,1,0,66000,0,0,0,939700,0,NA,0,0,1,0,0,0
698,520.1998,520,520.2999878,Bay & Bakool,3,4,0,0,1998,1,0,66000,0,0,0,963400,0,NA,0,0,1,0,0,0
699,520.1999,520,520.2999878,Bay & Bakool,4,5,0,0,1999,1,0,66000,0,0,0,989400,0,NA,0,0,1,0,0,0
700,520.2,520,520.2999878,Bay & Bakool,5,6,0,0,2000,1,0,66000,0,0,0,1018100,0,NA,0,0,0,0,0,0
701,520.2001,520,520.2999878,Bay & Bakool,6,7,0,0,2001,1,0,66000,0,0,0,1048200,0,NA,0,0,0,0,0,0
702,520.2002,520,520.2999878,Bay & Bakool,7,8,0,0,2002,1,0,66000,0,0,0,1081700,0,NA,0,1,1,0,0,0
703,520.2003,520,520.2999878,Bay & Bakool,8,9,0,0,2003,1,0,66000,0,0,0,1115700,0,NA,0,0,1,0,0,0
704,520.2004,520,520.2999878,Bay & Bakool,9,10,1,3,2004,1,0,66000,0,0,0,1150100,0,NA,0,0,1,0,0,0
447,483.1971,483,483.2000122,BET - I,0,1,0,0,1971,4,1,582000,0,1,0,81500,0,500,0,0,0,0,0,0
448,483.1972,483,483.2000122,BET - I,1,2,0,0,1972,4,1,582000,0,1,0,82000,0,500,0,0,0,0,0,0
449,483.1973,483,483.2000122,BET - I,2,3,0,0,1973,4,1,582000,0,1,0,82857,0,500,0,0,0,0,0,0
450,483.1974,483,483.2000122,BET - I,3,4,0,0,1974,4,1,582000,0,1,0,83714,0,1800,0,0,0,0,0,0
451,483.1975,483,483.2000122,BET - I,4,5,0,0,1975,4,1,582000,0,1,0,84571,0,3100,0,0,0,0,0,0
452,483.1976,483,483.2000122,BET - I,5,6,0,0,1976,4,1,582000,0,1,0,85429,0,4400,0,0,0,0,0,0
453,483.1977,483,483.2000122,BET - I,6,7,0,0,1977,4,1,582000,0,1,0,86286,0,5700,0,1,1,0,1,0
454,483.1978,483,483.2000122,BET - I,7,8,0,0,1978,4,1,582000,0,1,0,87143,0,7000,0,0,1,0,1,0
455,483.1979,483,483.2000122,BET - I,8,9,1,4,1979,4,1,582000,0,1,0,88000,0,7000,0,0,1,0,1,0
463,483.1983,483,483.5,BET - II,0,1,0,0,1983,2,0,582000,0,1,0,1.00E+05,0,5000,0,1,1,0,1,0
464,483.1984,483,483.5,BET - II,1,2,0,0,1984,2,0,582000,0,1,0,103000,0,6000,0,0,1,0,1,0
465,483.1985,483,483.5,BET - II,2,3,0,0,1985,2,0,582000,0,1,0,104500,0,7000,0,0,0,0,1,0
466,483.1986,483,483.5,BET - II,3,4,0,0,1986,2,0,582000,0,1,0,106000,0,8000,0,0,0,0,1,0
467,483.1987,483,483.5,BET - II,4,5,1,2,1987,2,0,582000,0,1,0,107500,0,8000,0,0,0,0,1,0
430,475.1967,475,475.1000061,Biafra,0,1,0,0,1967,5,0,76364,0,0,1,1.30E+07,0,7500,5,1,1,0,0,0
431,475.1968,475,475.1000061,Biafra,1,2,0,0,1968,5,0,57273,0,0,1,9750000,0,50000,5,0,1,0,0,0
432,475.1969,475,475.1000061,Biafra,2,3,0,0,1969,5,0,19091,0,0,1,3250000,0,40000,5,0,1,0,0,0
433,475.197,475,475.1000061,Biafra,3,4,1,2,1970,5,0,19091,0,0,1,3250000,0,30000,5,0,1,1,0,0
270,165.187,165,165.3000031,Blancos de Uruguay,0,1,0,0,1870,3,0,74103,0,0,0,79880,0,5000,0,1,1,0,0,0
271,165.1871,165,165.3000031,Blancos de Uruguay,1,2,0,0,1871,3,0,74103,0,0,0,82640,0,5000,0,0,1,0,0,0
272,165.1872,165,165.3000031,Blancos de Uruguay,2,3,1,2,1872,3,0,74103,0,0,0,85400,0,5000,0,0,1,1,0,0
798,560.1977,560,560.2000122,Bophuthatswana,0,1,0,0,1977,6,0,44000,1,0,0,1264952,-1,125,1,0,0,0,0,0
799,560.1978,560,560.2000122,Bophuthatswana,1,2,0,0,1978,6,0,44000,1,0,0,1284406,-1,353,1,0,0,0,0,0
800,560.1979,560,560.2000122,Bophuthatswana,2,3,0,0,1979,6,0,44000,1,0,0,1303861,-1,581,1,0,0,0,0,0
801,560.198,560,560.2000122,Bophuthatswana,3,4,0,0,1980,6,0,44000,1,0,0,1323315,-1,809,1,0,0,0,0,0
802,560.1981,560,560.2000122,Bophuthatswana,4,5,0,0,1981,6,0,44000,1,0,0,1342769,-1,1037,1,0,0,0,0,0
803,560.1982,560,560.2000122,Bophuthatswana,5,6,0,0,1982,6,0,44000,1,0,0,1362224,-1,1265,1,0,0,0,0,0
804,560.1983,560,560.2000122,Bophuthatswana,6,7,0,0,1983,6,0,44000,1,0,0,1381678,-1,1493,1,0,0,0,0,0
805,560.1984,560,560.2000122,Bophuthatswana,7,8,0,0,1984,6,0,44000,1,0,0,1401133,-1,1721,1,0,0,0,0,0
806,560.1985,560,560.2000122,Bophuthatswana,8,9,0,0,1985,6,0,44000,1,0,0,1420587,-1,1949,1,0,0,0,0,0
807,560.1986,560,560.2000122,Bophuthatswana,9,10,0,0,1986,6,0,44000,1,0,0,1440041,-1,2176,1,0,0,0,0,0
808,560.1987,560,560.2000122,Bophuthatswana,10,11,0,0,1987,6,0,44000,1,0,0,1459456,-1,2404,1,0,0,0,0,0
809,560.1988,560,560.2000122,Bophuthatswana,11,12,0,0,1988,6,0,44000,1,0,0,1478950,-1,2632,1,0,0,0,0,0
810,560.1989,560,560.2000122,Bophuthatswana,12,13,0,0,1989,6,0,44000,1,0,0,1498404,-1,2860,1,0,0,0,0,0
811,560.199,560,560.2000122,Bophuthatswana,13,14,0,0,1990,6,0,44000,1,0,0,1517859,-1,3088,1,0,0,0,0,0
812,560.1991,560,560.2000122,Bophuthatswana,14,15,0,0,1991,6,0,44000,1,0,0,1537313,-1,3316,1,0,0,0,0,0
813,560.1992,560,560.2000122,Bophuthatswana,15,16,0,0,1992,6,0,44000,1,0,0,1556768,-1,3544,1,0,0,0,0,0
814,560.1993,560,560.2000122,Bophuthatswana,16,17,0,0,1993,6,0,44000,1,0,0,1576222,-1,3772,1,0,0,0,0,0
815,560.1994,560,560.2000122,Bophuthatswana,17,18,1,3,1994,6,0,44000,1,0,0,1595676,-1,4000,1,0,0,0,0,0
1921,910.1989,910,910.0999756,Bougainville Island,0,1,0,0,1989,3,0,9318,0,1,1,159367,-1,2000,0,1,1,0,0,0
1922,910.199,910,910.0999756,Bougainville Island,1,2,0,0,1990,3,0,9318,0,1,1,159500,-1,2000,0,0,1,0,0,0
1923,910.1991,910,910.0999756,Bougainville Island,2,3,0,0,1991,3,0,9318,0,1,1,161070,-1,2000,0,0,0,0,0,0
1924,910.1992,910,910.0999756,Bougainville Island,3,4,0,0,1992,3,0,9318,0,1,1,162640,-1,2000,0,1,1,0,0,0
1925,910.1993,910,910.0999756,Bougainville Island,4,5,0,0,1993,3,0,9318,0,1,1,164210,-1,2000,0,0,1,0,0,0
1926,910.1994,910,910.0999756,Bougainville Island,5,6,0,0,1994,3,0,9318,0,1,1,165780,-1,2000,0,0,1,0,0,0
1927,910.1995,910,910.0999756,Bougainville Island,6,7,0,0,1995,3,0,9318,0,1,1,167350,-1,2000,0,0,1,0,0,0
1928,910.1996,910,910.0999756,Bougainville Island,7,8,0,0,1996,3,0,9318,0,1,1,168920,-1,2000,0,0,1,0,0,0
1929,910.1997,910,910.0999756,Bougainville Island,8,9,0,0,1997,3,0,9318,0,1,1,170490,-1,2000,0,0,0,0,0,0
1930,910.1998,910,910.0999756,Bougainville Island,9,10,0,0,1998,3,0,9318,0,1,1,172060,-1,2000,0,0,0,0,0,0
1931,910.1999,910,910.0999756,Bougainville Island,10,11,0,0,1999,3,0,9318,0,1,1,173630,-1,2000,0,0,0,0,0,0
1932,910.2,910,910.0999756,Bougainville Island,11,12,0,0,2000,3,0,9318,0,1,1,175200,-1,2000,0,0,0,0,0,0
1933,910.2001,910,910.0999756,Bougainville Island,12,13,1,3,2001,3,0,9318,0,1,1,176770,-1,2000,0,0,0,0,0,0
252,140.1893,140,140.8000031,Brazilian Navy Revolt,0,1,0,0,1893,3,0,95346,0,0,0,294750,-1,1500,0,1,1,0,0,0
253,140.1894,140,140.8000031,Brazilian Navy Revolt,1,2,1,2,1894,3,0,95346,0,0,0,298400,-1,1500,0,0,1,1,0,0
634,500.1996,500,500.1000061,Bundibugyo - ADF,0,1,0,0,1996,3,0,848,0,1,1,122573,-1,4500,0,1,1,0,1,0
635,500.1997,500,500.1000061,Bundibugyo - ADF,1,2,0,0,1997,3,0,848,0,1,1,128627,-1,4500,0,0,1,0,1,0
636,500.1998,500,500.1000061,Bundibugyo - ADF,2,3,0,0,1998,3,0,848,0,1,1,134682,-1,4500,0,0,1,0,1,0
637,500.1999,500,500.1000061,Bundibugyo - ADF,3,4,0,0,1999,3,0,848,0,1,1,140736,-1,4500,0,0,1,0,1,0
638,500.2,500,500.1000061,Bundibugyo - ADF,4,5,0,0,2000,3,0,848,0,1,1,146791,-1,4500,0,0,1,0,1,0
639,500.2001,500,500.1000061,Bundibugyo - ADF,5,6,1,2,2001,3,0,848,0,1,1,152846,-1,4500,0,0,1,0,1,0
1546,775.1961,775,775.1099854,Burma - Kachin,0,1,0,0,1961,3,0,24603,1,1,1,280211,-1,100,0,1,1,0,0,1
1547,775.1962,775,775.1099854,Burma - Kachin,1,2,0,0,1962,3,0,30457,1,1,1,332031,-1,594,0,0,1,0,0,1
1548,775.1963,775,775.1099854,Burma - Kachin,2,3,0,0,1963,3,0,36311,1,1,1,383852,-1,1088,0,0,1,0,0,1
1549,775.1964,775,775.1099854,Burma - Kachin,3,4,0,0,1964,3,0,42164,1,1,1,435672,-1,1581,0,0,1,0,0,1
1550,775.1965,775,775.1099854,Burma - Kachin,4,5,0,0,1965,3,0,48018,1,1,1,487492,-1,2075,0,0,1,0,0,1
1551,775.1966,775,775.1099854,Burma - Kachin,5,6,0,0,1966,3,0,53872,1,1,1,539313,-1,2569,0,0,1,0,0,1
1552,775.1967,775,775.1099854,Burma - Kachin,6,7,0,0,1967,3,0,59726,1,1,1,591133,-1,3063,0,0,1,0,0,1
1553,775.1968,775,775.1099854,Burma - Kachin,7,8,0,0,1968,3,0,59726,1,1,1,606225,-1,3556,0,0,1,0,0,1
1554,775.1969,775,775.1099854,Burma - Kachin,8,9,0,0,1969,3,0,59726,1,1,1,621317,-1,4050,0,0,1,0,0,1
1555,775.197,775,775.1099854,Burma - Kachin,9,10,0,0,1970,3,0,59726,1,1,1,636409,-1,4544,0,0,1,0,0,1
1556,775.1971,775,775.1099854,Burma - Kachin,10,11,0,0,1971,3,0,59726,1,1,1,651501,-1,5038,0,0,1,0,0,1
1557,775.1972,775,775.1099854,Burma - Kachin,11,12,0,0,1972,3,0,59726,1,1,1,666593,-1,5531,0,0,1,0,0,1
1558,775.1973,775,775.1099854,Burma - Kachin,12,13,0,0,1973,3,0,59726,1,1,1,681685,-1,6025,0,0,1,0,0,1
1559,775.1974,775,775.1099854,Burma - Kachin,13,14,0,0,1974,3,0,59726,1,1,1,696777,-1,6519,0,0,1,0,0,1
1560,775.1975,775,775.1099854,Burma - Kachin,14,15,0,0,1975,3,0,59726,1,1,1,711869,-1,7013,0,0,1,0,0,1
