year,unique_id,ccode,state_name,event_num_all,event_num,start,stop,alt_start,alt_stop,num_before_81,left_censored,new_tc,new_tc_dummy,num_tc,area,area_1000,area_1000_log,country_age,durable,elf,exist_tc,first_tc,first_tc_alt,first_tc_count,lmtnest,sf,sf_onset,state_fail,tc_persists_alt,tc_tally,Devel,birth_type,rivals_thom,rivals_gd,hs_capacity,hrp_mean,hrp_sd,kills_mean,kills_median,ciri_disap,ciri_kill,ciri_polpris,ciri_tort,pts_amnesty,pts_state,pts_hrw,hath_tort,ucdp_low,ucdp_best,ucdp_high,polity,polity2,polity_democ,polity_autoc,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_egaldem,acd_inter_ongoing,acd_inter_onset,acd_intra_ongoing,acd_intra_onset,acd_any_ongoing,acd_any_onset,wbgdp2011est,wbgdppc2011est,wbpopest,sdpest,lag_hrp,lag_num_tc
1991,371.1991,371,Armenia,1,1,0,1,0,1,0,0,0,0,0,29703,29.70299911,3.391248021,1,0,0.134000003,0,0,0,1,2.805564404,0,0,0,0,0,0,2,1,0,0.136899993,0.328308554,0.318887368,0,0,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,6,6,6,0,0.652,0.377,0.306,0.547,0,0,0,0,0,0,23.594,8.609,14.985,23.372,NA,0
1992,371.1992,371,Armenia,1,1,1,2,1,2,0,0,0,0,0,29703,29.70299911,3.391248021,2,1,0.134000003,0,0,0,2,2.805564404,0,0,0,0,0,0.108141534,2,1,0,0.384200007,0.41813594,0.257426084,0,0,2,2,2,2,NA,2,NA,4,0,NA,NA,6,6,6,0,0.614,0.348,0.288,0.487,0,0,0,0,0,0,23.307,8.317,14.99,22.996,0.328308554,0
1993,371.1993,371,Armenia,1,1,2,3,2,3,0,0,0,0,0,29703,29.70299911,3.391248021,3,2,0.134000003,0,0,0,3,2.805564404,0,0,0,0,0,0.070951827,2,1,0,0.024879999,0.448613182,0.247056028,0,0,2,2,2,1,1,3,NA,NA,0,NA,NA,6,6,6,0,0.601,0.335,0.28,0.475,0,0,0,0,0,0,23.182,8.209,14.974,22.828,0.41813594,0
1994,371.1994,371,Armenia,1,1,3,4,3,4,0,0,0,0,0,29703,29.70299911,3.391248021,4,3,0.134000003,0,0,0,4,2.805564404,0,0,0,0,0,0.067603685,2,1,0,0.503099978,0.44205116,0.234019853,0,0,2,2,2,1,2,2,NA,NA,0,NA,NA,6,6,6,0,0.618,0.333,0.28,0.511,0,0,0,0,0,0,23.153,8.2,14.952,22.795,0.448613182,0
1995,371.1995,371,Armenia,1,1,4,5,4,5,0,0,0,0,0,29703,29.70299911,3.391248021,5,0,0.134000003,0,0,0,5,2.805564404,0,0,0,0,0,0.080345228,2,1,0,0.489199996,0.331176481,0.226880334,0,0,2,2,1,0,2,2,NA,NA,0,NA,NA,1,1,3,2,0.505,0.279,0.233,0.42,0,0,0,0,0,0,23.172,8.237,14.936,22.83,0.44205116,0
1996,371.1996,371,Armenia,1,1,5,6,5,6,0,0,0,0,0,29703,29.70299911,3.391248021,6,0,0.134000003,0,0,0,6,2.805564404,0,0,0,0,0,0.075881228,2,1,0,0.413700014,0.240469667,0.219859439,0,0,2,2,0,1,2,2,NA,NA,0,NA,NA,-6,-6,0,6,0.419,0.234,0.192,0.367,0,0,0,0,0,0,23.231,8.301,14.93,22.914,0.331176481,0
1997,371.1997,371,Armenia,1,1,6,7,6,7,0,0,0,0,0,29703,29.70299911,3.391248021,7,1,0.134000003,0,0,0,7,2.805564404,0,0,0,0,0,0.086462311,2,1,0,0.412800014,0.067073441,0.20905625,0,0,2,2,1,0,2,3,NA,NA,0,NA,NA,-6,-6,0,6,0.37,0.223,0.179,0.33,0,0,0,0,0,0,23.255,8.341,14.915,22.952,0.240469667,0
1998,371.1998,371,Armenia,1,1,7,8,7,8,0,0,0,0,0,29703,29.70299911,3.391248021,8,0,0.134000003,0,0,0,8,2.805564404,0,0,0,0,0,0.091221407,2,1,0,0.399699986,0.033260005,0.209936267,0,0,2,1,1,0,2,3,NA,NA,0,NA,NA,5,5,6,1,0.419,0.227,0.195,0.355,0,0,0,0,0,0,23.275,8.37,14.905,22.982,0.067073441,0
1999,371.1999,371,Armenia,1,1,8,9,8,9,0,0,0,0,0,29703,29.70299911,3.391248021,9,1,0.134000003,0,0,0,9,2.805564404,0,0,0,0,0,0.084143758,2,1,0,0.521000028,0.185682174,0.202191522,0,0,2,2,2,0,2,3,NA,NA,0,NA,NA,5,5,6,1,0.414,0.216,0.19,0.343,0,0,0,0,0,0,23.334,8.44,14.894,23.064,0.033260005,0
2000,371.2,371,Armenia,1,1,9,10,9,10,0,0,0,0,0,29703,29.70299911,3.391248021,10,2,0.134000003,0,0,0,10,2.805564404,0,0,0,0,0,0.093426883,2,1,0,0.41870001,0.298622341,0.211870585,0,0,2,1,1,0,2,2,NA,NA,0,NA,NA,5,5,6,1,0.483,0.246,0.212,0.368,0,0,0,0,0,0,23.386,8.49,14.896,23.131,0.185682174,0
2001,371.2001,371,Armenia,1,1,10,11,10,11,0,0,0,0,0,29703,29.70299911,3.391248021,11,3,0.134000003,0,0,0,11,2.805564404,0,0,0,0,0,0.098169729,2,1,0,0.423200011,0.403479186,0.218261282,0,0,2,2,2,0,2,2,NA,NA,0,NA,NA,5,5,6,1,0.463,0.238,0.211,0.362,0,0,0,0,0,0,23.432,8.552,14.881,23.194,0.298622341,0
2002,371.2002,371,Armenia,1,1,11,12,11,12,0,0,0,0,0,29703,29.70299911,3.391248021,12,4,0.134000003,0,0,0,12,2.805564404,0,0,0,0,0,0.086282603,2,1,NA,0.456800014,0.388505236,0.220298349,0,0,2,2,2,0,3,3,NA,NA,0,NA,NA,5,5,6,1,0.466,0.248,0.211,0.369,0,0,0,0,0,0,23.503,8.631,14.873,23.286,0.403479186,0
2003,371.2003,371,Armenia,1,1,12,13,12,13,0,0,0,0,0,29703,29.70299911,3.391248021,13,5,0.134000003,0,0,0,13,2.805564404,0,0,0,0,0,0.095035873,2,1,NA,0.462900013,0.630895113,0.22628875,0,0,2,2,1,1,2,2,NA,NA,0,NA,NA,5,5,5,0,0.36,0.196,0.165,0.307,0,0,0,0,0,0,23.62,8.758,14.862,23.431,0.388505236,0
2004,371.2004,371,Armenia,1,1,13,14,13,14,0,0,0,0,0,29703,29.70299911,3.391248021,14,6,0.134000003,0,0,0,14,2.805564404,0,0,0,0,0,0.093847483,2,1,NA,0.584800005,0.617284964,0.223756507,0,0,2,2,0,0,3,2,NA,NA,0,NA,NA,5,5,5,0,0.379,0.206,0.175,0.324,0,0,0,0,0,0,23.719,8.853,14.867,23.549,0.630895113,0
2005,371.2005,371,Armenia,1,1,14,15,14,15,0,0,0,0,0,29703,29.70299911,3.391248021,15,7,0.134000003,0,0,0,15,2.805564404,0,0,0,0,0,0.108007044,2,1,NA,0.741100013,0.684549381,0.224284185,0,0,2,2,1,0,2,2,NA,NA,0,NA,NA,5,5,5,0,0.362,0.207,0.168,0.311,0,0,0,0,0,0,23.832,8.966,14.866,23.682,0.617284964,0
2006,371.2006,371,Armenia,1,1,15,16,15,16,0,0,0,0,0,29703,29.70299911,3.391248021,16,8,0.134000003,0,0,0,16,2.805564404,0,0,0,0,0,0.109679997,2,1,NA,0.797399998,0.637532902,0.234681152,0,0,2,2,1,0,2,2,NA,NA,0,NA,NA,5,5,5,0,0.365,0.208,0.165,0.312,0,0,0,0,0,0,23.946,9.089,14.857,23.814,0.684549381,0
2007,371.2007,371,Armenia,1,1,16,17,16,17,0,0,0,0,0,29703,29.70299911,3.391248021,17,9,0.134000003,0,0,0,17,2.805564404,0,0,0,0,0,0.122852787,2,1,NA,0.854099989,0.307282985,0.250475979,0,0,2,1,0,0,2,3,NA,NA,0,NA,NA,5,5,5,0,0.35,0.188,0.17,0.304,0,0,0,0,0,0,24.067,9.211,14.856,23.951,0.637532902,0
2008,371.2008,371,Armenia,1,1,17,18,17,18,0,0,0,0,0,29703,29.70299911,3.391248021,18,10,0.134000003,0,0,0,18,2.805564404,0,0,0,0,0,0.122852787,2,1,NA,0.915099978,0.107827508,0.231898648,0,0,2,1,0,0,3,3,NA,NA,0,NA,NA,5,5,5,0,0.331,0.178,0.161,0.291,0,0,0,0,0,0,24.093,9.241,14.852,23.981,0.307282985,0
2009,371.2009,371,Armenia,1,1,18,19,18,19,0,0,0,0,0,29703,29.70299911,3.391248021,19,11,0.134000003,0,0,0,19,2.805564404,0,0,0,0,0,0.122852787,2,1,NA,0.918299973,0.089805368,0.214684942,0,0,2,1,0,0,2,3,NA,NA,0,NA,NA,5,5,5,0,0.333,0.186,0.166,0.288,0,0,0,0,0,0,24.022,9.172,14.85,23.901,0.107827508,0
2010,371.201,371,Armenia,1,1,19,20,19,20,0,0,0,0,0,29703,29.70299911,3.391248021,20,12,0.134000003,0,0,0,20,2.805564404,0,0,0,0,0,0.122852787,2,1,NA,0.904600024,0.088946439,0.217604329,0,0,2,1,0,0,2,3,NA,NA,0,NA,NA,5,5,5,0,0.369,0.212,0.189,0.301,0,0,0,0,0,0,24.026,9.176,14.85,23.906,0.089805368,0
1981,771.1981,771,Bangladesh,1,1,0,1,0,1,0,0,0,0,0,138505,138.5050049,4.930906461,11,3,0.223000005,0,0,0,11,0,0,0,0,0,0,0.062426031,5,0,0,-0.428600013,-0.997389998,0.19411185,NA,NA,2,2,0,1,3,2,NA,NA,NA,NA,NA,-4,-4,0,4,0.397,0.209,0.242,0.181,0,0,0,0,0,0,25.357,7.113,18.244,23.129,-1.024561634,0
1982,771.1982,771,Bangladesh,1,1,1,2,1,2,0,0,0,0,0,138505,138.5050049,4.930906461,12,0,0.223000005,0,0,0,12,0,0,0,0,0,0,0.061473921,5,0,0,-0.451299995,-1.083180687,0.191925658,NA,NA,1,1,1,1,3,3,NA,NA,NA,NA,NA,-7,-7,0,7,0.222,0.121,0.161,0.129,0,0,0,0,0,0,25.381,7.114,18.268,23.156,-0.997389998,0
1983,771.1983,771,Bangladesh,1,1,2,3,2,3,0,0,0,0,0,138505,138.5050049,4.930906461,13,1,0.223000005,0,0,0,13,0,0,0,0,0,0,0.056270108,5,0,0,-0.463999987,-1.06679026,0.188859969,NA,NA,1,1,1,1,3,3,NA,NA,NA,NA,NA,-7,-7,0,7,0.185,0.119,0.146,0.111,0,0,0,0,0,0,25.422,7.133,18.29,23.34,-1.083180687,0
1984,771.1984,771,Bangladesh,1,1,3,4,3,4,0,0,0,0,0,138505,138.5050049,4.930906461,14,2,0.223000005,0,0,0,14,0,0,0,0,0,0,0.044744302,5,0,0,-0.766200006,-0.998138045,0.197009971,NA,NA,2,1,1,1,4,2,NA,NA,NA,NA,NA,-7,-7,0,7,0.199,0.122,0.144,0.119,0,0,0,0,0,0,25.468,7.155,18.314,23.529,-1.06679026,0
1985,771.1985,771,Bangladesh,1,1,4,5,4,5,0,0,0,0,0,138505,138.5050049,4.930906461,15,3,0.223000005,0,0,0,15,0,0,0,0,0,0,0.04512459,5,0,0,-0.753799975,-1.001607251,0.190673086,NA,NA,2,1,0,1,3,2,NA,3,NA,NA,NA,-7,-7,0,7,0.193,0.121,0.161,0.124,0,0,0,0,0,0,25.507,7.165,18.343,23.626,-0.998138045,0
1986,771.1986,771,Bangladesh,1,1,5,6,5,6,0,0,0,0,0,138505,138.5050049,4.930906461,16,4,0.223000005,0,0,0,16,0,0,0,0,0,0,0.04479162,5,0,0,-0.656799972,-1.150268312,0.186914646,NA,NA,2,1,1,1,5,3,NA,3,NA,NA,NA,-5,-5,0,5,0.282,0.155,0.196,0.153,0,0,0,0,0,0,25.533,7.169,18.365,23.674,-1.001607251,0
1987,771.1987,771,Bangladesh,1,1,6,7,6,7,0,0,0,0,0,138505,138.5050049,4.930906461,17,5,0.223000005,0,0,0,17,0,0,0,0,0,0,0.044319604,5,0,0,-0.6523,-1.220848087,0.185849366,NA,NA,2,0,1,1,3,4,NA,3,NA,NA,NA,-5,-5,0,5,0.339,0.18,0.221,0.175,0,0,0,0,0,0,25.572,7.181,18.392,23.776,-1.150268312,0
1988,771.1988,771,Bangladesh,1,1,7,8,7,8,0,0,0,0,0,138505,138.5050049,4.930906461,18,6,0.223000005,0,0,0,18,0,0,0,0,0,0,0.0441912,5,0,0,-0.631900012,-1.211450635,0.190370905,NA,NA,2,0,1,1,3,3,NA,3,NA,NA,NA,-5,-5,0,5,0.311,0.166,0.205,0.158,0,0,0,0,0,0,25.62,7.208,18.413,23.95,-1.220848087,0
1989,771.1989,771,Bangladesh,1,1,8,9,8,9,0,0,0,0,0,138505,138.5050049,4.930906461,19,7,0.223000005,0,0,0,19,0,0,0,0,0,0,0.04414415,5,0,0,-0.623399973,-1.234671233,0.182169103,0.750666667,0,2,1,1,1,3,3,NA,3,0,NA,NA,-5,-5,0,5,0.304,0.165,0.203,0.172,0,0,0,0,0,0,25.68,7.244,18.437,24.151,-1.211450635,0
1990,771.199,771,Bangladesh,1,1,9,10,9,10,0,0,0,0,0,138505,138.5050049,4.930906461,20,8,0.223000005,0,0,0,20,0,0,0,0,0,0,0.048625425,5,0,0,-0.530600011,-1.393684466,0.178893685,5.080666667,0,2,0,0,1,4,4,NA,3,0,NA,NA,-5,-5,0,5,0.305,0.166,0.204,0.173,0,0,0,0,0,0,25.717,7.258,18.46,24.237,-1.234671233,0
1991,771.1991,771,Bangladesh,1,1,10,11,10,11,0,0,0,0,0,138505,138.5050049,4.930906461,21,0,0.223000005,0,0,0,21,0,0,0,0,0,0,0.052291263,5,0,0,-0.487500012,-1.47966611,0.177720174,10.16466667,0,2,1,1,0,3,4,NA,4,0,NA,NA,6,6,6,0,0.443,0.221,0.288,0.203,0,0,0,0,0,0,25.759,7.276,18.483,24.34,-1.393684466,0
1992,771.1992,771,Bangladesh,1,1,11,12,11,12,0,0,0,0,0,138505,138.5050049,4.930906461,22,1,0.223000005,0,0,0,22,0,0,0,0,0,0,0.049937233,5,0,0,-0.444999993,-1.905780505,0.124628207,170.574,151,1,0,0,0,4,4,NA,4,138,138,300,6,6,6,0,0.551,0.279,0.354,0.255,0,0,0,0,0,0,25.792,7.285,18.507,24.401,-1.47966611,0
1993,771.1993,771,Bangladesh,1,1,12,13,12,13,0,0,0,0,0,138505,138.5050049,4.930906461,23,2,0.223000005,0,0,0,23,0,0,0,0,0,0,0.050291531,5,0,0,-0.306499988,-1.109115838,0.218443247,0.524666667,0,2,1,1,1,3,3,NA,4,0,NA,NA,6,6,6,0,0.541,0.281,0.346,0.243,0,0,0,0,0,0,25.85,7.326,18.525,24.573,-1.905780505,0
1994,771.1994,771,Bangladesh,1,1,13,14,13,14,0,0,0,0,0,138505,138.5050049,4.930906461,24,3,0.223000005,0,0,0,24,0,0,0,0,0,0,0.051787086,5,0,0,-0.172399998,-1.061427202,0.191190141,0.156666667,0,2,1,0,0,3,3,NA,3,0,NA,NA,6,6,6,0,0.541,0.281,0.346,0.243,0,0,0,0,0,0,25.888,7.344,18.544,24.656,-1.109115838,0
1995,771.1995,771,Bangladesh,1,1,14,15,14,15,0,0,0,0,0,138505,138.5050049,4.930906461,25,4,0.223000005,0,0,0,25,0,0,0,0,0,0,0.052894682,5,0,0,-0.194800004,-1.110419676,0.183173599,0.178666667,0,2,1,0,0,3,3,NA,5,0,NA,NA,6,6,6,0,0.541,0.281,0.347,0.258,0,0,0,0,0,0,25.917,7.35,18.568,24.7,-1.061427202,0
1996,771.1996,771,Bangladesh,1,1,15,16,15,16,0,0,0,0,0,138505,138.5050049,4.930906461,26,5,0.223000005,0,0,0,26,0,0,0,0,0,0,0.05074447,5,0,0,-0.183599994,-1.19171167,0.183890351,0.554,0,1,1,1,0,3,4,NA,5,0,NA,NA,6,6,6,0,0.521,0.285,0.327,0.236,0,0,0,0,0,0,25.962,7.38,18.582,24.813,-1.110419676,0
1997,771.1997,771,Bangladesh,1,1,16,17,16,17,0,0,0,0,0,138505,138.5050049,4.930906461,27,6,0.223000005,0,0,0,27,0,0,0,0,0,0,0.052238982,5,0,0,-0.164900005,-1.145494223,0.195655657,0.350666667,0,2,1,1,0,3,4,NA,5,0,NA,NA,6,6,6,0,0.532,0.288,0.328,0.227,0,0,0,0,0,0,25.981,7.376,18.606,24.822,-1.19171167,0
1998,771.1998,771,Bangladesh,1,1,17,18,17,18,0,0,0,0,0,138505,138.5050049,4.930906461,28,7,0.223000005,0,0,0,28,0,0,0,0,0,0,0.039798059,5,0,0,-0.087619998,-0.975753203,0.207235148,0.102666667,0,2,0,0,1,2,4,NA,5,0,NA,NA,6,6,6,0,0.532,0.288,0.326,0.227,0,0,0,0,0,0,26.018,7.398,18.62,24.907,-1.145494223,0
1999,771.1999,771,Bangladesh,1,1,18,19,18,19,0,0,0,0,0,138505,138.5050049,4.930906461,29,8,0.223000005,0,0,0,29,0,0,0,0,0,0,0.048181966,5,0,0,-0.114600003,-0.836939831,0.204260797,0.016666667,0,2,1,1,0,3,3,NA,5,0,NA,NA,6,6,6,0,0.532,0.288,0.325,0.214,0,0,0,0,0,0,26.033,7.393,18.641,24.912,-0.975753203,0
2000,771.2,771,Bangladesh,1,1,19,20,19,20,0,0,0,0,0,138505,138.5050049,4.930906461,30,9,0.223000005,0,0,0,30,0,0,0,0,0,0,0.049254503,5,0,0,-0.232600003,-0.861718269,0.204603533,0.016666667,0,1,0,1,0,3,3,NA,NA,0,NA,NA,6,6,6,0,0.532,0.284,0.323,0.214,0,0,0,0,0,0,26.075,7.415,18.661,24.996,-0.836939831,0
2001,771.2001,771,Bangladesh,1,1,20,21,20,21,0,0,0,0,0,138505,138.5050049,4.930906461,31,10,0.223000005,0,0,0,31,0,0,0,0,0,0,0.049995407,5,0,0,-0.34709999,-0.917318179,0.208588432,0.022,0,2,1,1,0,4,3,NA,NA,0,NA,NA,6,6,6,0,0.527,0.283,0.324,0.219,0,0,0,0,0,0,26.107,7.422,18.686,25.042,-0.861718269,0
2002,771.2002,771,Bangladesh,1,1,21,22,21,22,0,0,0,0,0,138505,138.5050049,4.930906461,32,11,0.223000005,0,0,0,32,0,0,0,0,0,0,0.049995407,5,0,NA,-0.414700001,-1.117673674,0.195544729,0.213333333,0,1,0,0,0,3,4,NA,NA,0,NA,NA,6,6,6,0,0.49,0.252,0.308,0.21,0,0,0,0,0,0,26.164,7.465,18.699,25.177,-0.917318179,0
2003,771.2003,771,Bangladesh,1,1,22,23,22,23,0,0,0,0,0,138505,138.5050049,4.930906461,33,12,0.223000005,0,0,0,33,0,0,0,0,0,0,0.049995407,5,0,NA,-0.398999989,-1.216659044,0.185205638,0.625333333,0,0,0,0,0,3,4,NA,NA,0,NA,NA,6,6,6,0,0.456,0.239,0.291,0.195,0,0,0,0,0,0,26.206,7.483,18.723,25.249,-1.117673674,0
2004,771.2004,771,Bangladesh,1,1,23,24,23,24,0,0,0,0,0,138505,138.5050049,4.930906461,34,13,0.223000005,0,0,0,34,0,0,0,0,0,0,0.049995407,5,0,NA,-0.277700007,-1.274059068,0.179144054,1.484666667,0,1,0,0,0,4,4,NA,NA,0,NA,NA,6,6,6,0,0.456,0.228,0.289,0.195,0,0,0,0,0,0,26.253,7.516,18.738,25.345,-1.216659044,0
2005,771.2005,771,Bangladesh,1,1,24,25,24,25,0,0,0,0,0,138505,138.5050049,4.930906461,35,14,0.223000005,0,0,0,35,0,0,0,0,0,0,0.049995407,5,0,NA,-0.181700006,-1.328657085,0.180466291,2.782,0,0,0,0,0,4,4,NA,NA,0,NA,NA,6,6,6,0,0.456,0.228,0.288,0.194,0,0,0,0,0,0,26.3,7.549,18.752,25.439,-1.274059068,0
2006,771.2006,771,Bangladesh,1,1,25,26,25,26,0,0,0,0,0,138505,138.5050049,4.930906461,36,15,0.223000005,0,0,0,36,0,0,0,0,0,0,0.049995407,5,0,NA,-0.05711,-1.312830595,0.174668362,1.744666667,0,1,0,0,0,4,4,NA,NA,0,NA,NA,6,6,6,0,0.432,0.114,0.27,0.199,0,0,0,0,0,0,26.378,7.619,18.76,25.606,-1.328657085,0
2007,771.2007,771,Bangladesh,1,1,26,27,26,27,0,0,0,0,0,138505,138.5050049,4.930906461,37,0,0.223000005,0,0,0,37,0,0,0,0,0,0,0.049995407,5,0,NA,-0.017510001,-1.304628221,0.181781046,2.072666667,0,0,0,0,0,4,4,NA,NA,0,NA,NA,-6,-6,0,6,0.219,0.118,0.18,0.114,0,0,0,0,0,0,26.467,7.693,18.774,25.775,-1.312830595,0
2008,771.2008,771,Bangladesh,1,1,27,28,27,28,0,0,0,0,0,138505,138.5050049,4.930906461,38,1,0.223000005,0,0,0,38,0,0,0,0,0,0,0.049995407,5,0,NA,-0.085419998,-1.24504721,0.184208799,1.022666667,0,1,0,0,0,4,4,NA,NA,0,NA,NA,-6,-6,0,6,0.205,0.109,0.174,0.116,0,0,0,0,0,0,26.555,7.772,18.783,25.936,-1.304628221,0
2009,771.2009,771,Bangladesh,1,1,28,29,28,29,0,0,0,0,0,138505,138.5050049,4.930906461,39,0,0.223000005,0,0,0,39,0,0,0,0,0,0,0.049995407,5,0,NA,-0.152500004,-1.201861751,0.182428439,0.542666667,0,1,0,0,0,4,4,NA,NA,0,NA,NA,5,5,6,1,0.51,0.226,0.307,0.236,0,0,0,0,0,0,26.617,7.818,18.799,26.035,-1.24504721,0
2010,771.201,771,Bangladesh,1,1,29,30,29,30,0,0,0,0,0,138505,138.5050049,4.930906461,40,1,0.223000005,0,0,0,40,0,0,0,0,0,0,0.049995407,5,0,NA,-0.074029997,-1.12555959,0.189813212,0.208666667,0,1,0,1,0,4,4,NA,NA,0,NA,NA,5,5,6,1,0.501,0.209,0.31,0.217,0,0,0,0,0,0,26.728,7.929,18.8,26.226,-1.201861751,0
1981,80.1981,80,Belize,1,1,0,1,0,1,0,0,0,0,0,22209,22.20899963,3.100497595,1,NA,NA,0,0,0,1,NA,0,0,0,0,0,0.308024496,3,1,0,NA,1.647672236,0.461724995,NA,NA,2,2,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,20.276,8.404,11.872,19.994,NA,0
1982,80.1982,80,Belize,1,1,1,2,1,2,0,0,0,0,0,22209,22.20899963,3.100497595,2,NA,NA,0,0,0,2,NA,0,0,0,0,0,0.326548934,3,1,0,NA,1.732819945,0.424667785,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,20.296,8.401,11.895,20.013,1.647672236,0
1983,80.1983,80,Belize,1,1,2,3,2,3,0,0,0,0,0,22209,22.20899963,3.100497595,3,NA,NA,0,0,0,3,NA,0,0,0,0,0,0.352540135,3,1,0,NA,1.772673608,0.406755501,NA,NA,2,2,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,20.289,8.365,11.924,19.995,1.732819945,0
1984,80.1984,80,Belize,1,1,3,4,3,4,0,0,0,0,0,22209,22.20899963,3.100497595,4,NA,NA,0,0,0,4,NA,0,0,0,0,0,0.256880611,3,1,0,NA,1.77210414,0.390200581,NA,NA,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,20.32,8.368,11.952,20.026,1.772673608,0
1985,80.1985,80,Belize,1,1,4,5,4,5,0,0,0,0,0,22209,22.20899963,3.100497595,5,NA,NA,0,0,0,5,NA,0,0,0,0,0,0.250277072,3,1,0,NA,1.835673526,0.382090583,NA,NA,2,2,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,20.378,8.396,11.983,20.094,1.77210414,0
1986,80.1986,80,Belize,1,1,5,6,5,6,0,0,0,0,0,22209,22.20899963,3.100497595,6,NA,NA,0,0,0,6,NA,0,0,0,0,0,0.234344274,3,1,0,NA,1.855963027,0.395639129,NA,NA,2,2,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,20.468,8.463,12.006,20.205,1.835673526,0
1987,80.1987,80,Belize,1,1,6,7,6,7,0,0,0,0,0,22209,22.20899963,3.100497595,7,NA,NA,0,0,0,7,NA,0,0,0,0,0,0.202180877,3,1,0,NA,1.850561165,0.386520987,NA,NA,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,20.575,8.542,12.033,20.334,1.855963027,0
1988,80.1988,80,Belize,1,1,7,8,7,8,0,0,0,0,0,22209,22.20899963,3.100497595,8,NA,NA,0,0,0,8,NA,0,0,0,0,0,0.194456235,3,1,0,NA,1.913091869,0.37876518,NA,NA,2,2,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,20.651,8.59,12.062,20.423,1.850561165,0
1989,80.1989,80,Belize,1,1,8,9,8,9,0,0,0,0,0,22209,22.20899963,3.100497595,9,NA,NA,0,0,0,9,NA,0,0,0,0,0,0.19690384,3,1,0,NA,1.940518742,0.357519581,0,0,2,2,2,2,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,20.742,8.669,12.073,20.534,1.913091869,0
1990,80.199,80,Belize,1,1,9,10,9,10,0,0,0,0,0,22209,22.20899963,3.100497595,10,NA,NA,0,0,0,10,NA,0,0,0,0,0,0.205839694,3,1,0,NA,1.914149338,0.343480072,0,0,2,2,2,1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,20.811,8.711,12.1,20.611,1.940518742,0
1991,80.1991,80,Belize,1,1,10,11,10,11,0,0,0,0,0,22209,22.20899963,3.100497595,11,NA,NA,0,0,0,11,NA,0,0,0,0,0,0.207245767,3,1,0,NA,1.926557367,0.329316469,0,0,2,2,2,2,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,20.871,8.745,12.126,20.679,1.914149338,0
1992,80.1992,80,Belize,1,1,11,12,11,12,0,0,0,0,0,22209,22.20899963,3.100497595,12,NA,NA,0,0,0,12,NA,0,0,0,0,0,0.194230348,3,1,0,NA,1.878772262,0.321115985,0,0,2,2,2,2,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,20.92,8.772,12.149,20.734,1.926557367,0
1993,80.1993,80,Belize,1,1,12,13,12,13,0,0,0,0,0,22209,22.20899963,3.100497595,13,NA,NA,0,0,0,13,NA,0,0,0,0,0,0.200440779,3,1,0,NA,1.76596411,0.302254316,0,0,2,1,2,1,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,20.987,8.818,12.169,20.81,1.878772262,0
1994,80.1994,80,Belize,1,1,13,14,13,14,0,0,0,0,0,22209,22.20899963,3.100497595,14,NA,NA,0,0,0,14,NA,0,0,0,0,0,0.194778278,3,0,0,NA,1.80151929,0.29413098,0,0,2,2,2,1,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21.035,8.843,12.192,20.862,1.76596411,0
1995,80.1995,80,Belize,1,1,14,15,14,15,0,0,0,0,0,22209,22.20899963,3.100497595,15,NA,NA,0,0,0,15,NA,0,0,0,0,0,0.202965721,3,0,0,NA,1.833708631,0.294228952,0,0,2,2,2,1,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,21.064,8.845,12.219,20.892,1.80151929,0
